Rank,Block_ID,Lat,Lon,Risk Score (P=High),Prior Rat Count (1 Month),Prior Dumping Count (1 Month),Prior Rat Avg (3 Month),Dumping-Rat Interaction
130,40.7596_-73.9974,40.7596,-73.9974,0.6534193,0.0,0.0,1.0,0.0
131,40.6622_-73.9525,40.6622,-73.9525,0.62057596,0.0,1.0,0.5,0.0
132,40.8215_-73.8949,40.8215,-73.8949,0.61706865,0.0,0.0,1.0,0.0
133,40.8195_-73.938,40.8195,-73.938,0.6091422,0.0,0.0,0.0,0.0
134,40.808_-73.9491,40.808,-73.9491,0.5971794,1.0,2.0,0.6666666666666666,2.0
135,40.8348_-73.9049,40.8348,-73.9049,0.590969,0.0,0.0,3.0,0.0
136,40.6144_-73.9216,40.6144,-73.9216,0.5897467,0.0,0.0,1.0,0.0
137,40.6793_-73.9459,40.6793,-73.9459,0.57958585,0.0,1.0,1.3333333333333333,0.0
138,40.8387_-73.9276,40.8387,-73.9276,0.5741846,0.0,1.0,0.6666666666666666,0.0
139,40.7376_-73.8597,40.7376,-73.8597,0.5665192,0.0,0.0,1.0,0.0
140,40.835_-73.9152,40.835,-73.9152,0.56642276,0.0,0.0,1.0,0.0
141,40.8176_-73.8999,40.8176,-73.8999,0.56221586,0.0,0.0,1.0,0.0
142,40.7902_-73.9494,40.7902,-73.9494,0.55797875,0.0,0.0,0.0,0.0
143,40.8239_-73.9261,40.8239,-73.9261,0.5492475,0.0,1.0,0.5,0.0
144,40.7334_-73.8642,40.7334,-73.8642,0.54818517,1.0,0.0,0.3333333333333333,0.0
145,40.8669_-73.9235,40.8669,-73.9235,0.54438746,0.0,1.0,0.5,0.0
146,40.704_-73.9088,40.704,-73.9088,0.5439001,0.0,0.0,2.0,0.0
147,40.6973_-73.9358,40.6973,-73.9358,0.53837883,0.0,0.0,0.0,0.0
148,40.612_-73.9794,40.612,-73.9794,0.5382562,0.0,1.0,0.3333333333333333,0.0
149,40.7181_-74.002,40.7181,-74.002,0.537014,0.0,0.0,0.0,0.0
150,40.6806_-73.9745,40.6806,-73.9745,0.535016,0.0,0.0,0.0,0.0
151,40.6775_-73.9463,40.6775,-73.9463,0.5314174,0.0,1.0,0.6666666666666666,0.0
152,40.6801_-73.9642,40.6801,-73.9642,0.52765983,0.0,0.0,0.0,0.0
153,40.6704_-73.9787,40.6704,-73.9787,0.52765983,0.0,0.0,0.0,0.0
154,40.7109_-73.8761,40.7109,-73.8761,0.5232735,0.0,0.0,1.0,0.0
155,40.7059_-73.9218,40.7059,-73.9218,0.523151,1.0,1.0,0.3333333333333333,1.0
156,40.6785_-73.95,40.6785,-73.95,0.52115345,0.0,0.0,0.0,0.0
157,40.6008_-73.9938,40.6008,-73.9938,0.52115345,0.0,0.0,0.0,0.0
158,40.8276_-73.8809,40.8276,-73.8809,0.52039075,0.0,2.0,1.0,0.0
159,40.5572_-74.1187,40.5572,-74.1187,0.51716477,0.0,0.0,0.0,0.0
160,40.617_-74.0698,40.617,-74.0698,0.51716477,0.0,0.0,0.0,0.0
161,40.62_-74.0042,40.62,-74.0042,0.51680666,0.0,1.0,0.6666666666666666,0.0
162,40.812_-73.9065,40.812,-73.9065,0.5119474,0.0,0.0,0.0,0.0
163,40.8945_-73.8581,40.8945,-73.8581,0.5119474,0.0,0.0,0.0,0.0
164,40.6849_-73.9159,40.6849,-73.9159,0.5079297,0.0,0.0,0.0,0.0
165,40.5937_-73.7757,40.5937,-73.7757,0.5051652,0.0,1.0,0.5,0.0
166,40.8352_-73.8611,40.8352,-73.8611,0.5042397,0.0,0.0,0.0,0.0
